IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
207.46.13.12 	 ['[06/Mar/2022:01:22:02', '+0530]'] 	  GET 	 HTTP/1.0  	 200 	 7568 	 [' Mozilla/5.0', '(compatible;', 'bingbot/2.0;', '+http://www.bing.com/bingbot.htm) \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
185.180.143.75 	 ['[06/Mar/2022:01:57:09', '+0530]'] 	  GET 	 HTTP/1.1  	 303 	 3744 	 [' Mozilla/5.0', '(Windows', 'NT', '10.0;', 'WOW64)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/66.0.3359.117', 'Safari/537.36 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
185.180.143.75 	 ['[06/Mar/2022:01:57:11', '+0530]'] 	  GET 	 HTTP/1.0  	 200 	 14011 	 [' Mozilla/5.0', '(Windows', 'NT', '10.0;', 'WOW64)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/66.0.3359.117', 'Safari/537.36 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
209.141.35.128 	 ['[06/Mar/2022:03:29:04', '+0530]'] 	  GET 	 HTTP/1.1  	 200 	 14012 	 [' Mozilla/5.0', '(Macintosh;', 'Intel', 'Mac', 'OS', 'X', '10_15_7)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/96.0.4664.110', 'Safari/537.36 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
209.141.36.112 	 ['[06/Mar/2022:03:29:07', '+0530]'] 	  GET 	 HTTP/1.1  	 303 	 708 	 [' Mozilla/5.0', '(Macintosh;', 'Intel', 'Mac', 'OS', 'X', '10_15_7)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/96.0.4664.110', 'Safari/537.36 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
8.26.182.141 	 ['[06/Mar/2022:03:29:08', '+0530]'] 	  GET 	 HTTP/1.0  	 200 	 14012 	 [' Mozilla/5.0', '(Macintosh;', 'Intel', 'Mac', 'OS', 'X', '10_15_7)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/96.0.4664.110', 'Safari/537.36 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
101.227.1.199 	 ['[06/Mar/2022:03:29:12', '+0530]'] 	  GET 	 HTTP/1.1  	 303 	 708 	 [' Mozilla/5.0', '(Macintosh;', 'Intel', 'Mac', 'OS', 'X', '11_0_0)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/87.0.4280.88', 'Safari/537.36 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
209.141.41.193 	 ['[06/Mar/2022:03:29:12', '+0530]'] 	  GET 	 HTTP/1.1  	 200 	 14010 	 [' Mozilla/5.0', '(Macintosh;', 'Intel', 'Mac', 'OS', 'X', '11_0_0)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/87.0.4280.88', 'Safari/537.36 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
211.95.50.8 	 ['[06/Mar/2022:03:29:14', '+0530]'] 	  GET 	 HTTP/1.0  	 200 	 1008 	 [' Mozilla/5.0', '(Macintosh;', 'Intel', 'Mac', 'OS', 'X', '11_0_0)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/87.0.4280.88', 'Safari/537.36 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
211.95.50.7 	 ['[06/Mar/2022:03:29:14', '+0530]'] 	  GET 	 HTTP/1.0  	 200 	 7310 	 [' Mozilla/5.0', '(Macintosh;', 'Intel', 'Mac', 'OS', 'X', '11_0_0)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/87.0.4280.88', 'Safari/537.36 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
211.95.50.8 	 ['[06/Mar/2022:03:29:14', '+0530]'] 	  GET 	 HTTP/1.0  	 200 	 31183 	 [' Mozilla/5.0', '(Macintosh;', 'Intel', 'Mac', 'OS', 'X', '11_0_0)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/87.0.4280.88', 'Safari/537.36 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
211.95.50.7 	 ['[06/Mar/2022:03:29:14', '+0530]'] 	  GET 	 HTTP/1.0  	 200 	 1008 	 [' Mozilla/5.0', '(Macintosh;', 'Intel', 'Mac', 'OS', 'X', '11_0_0)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/87.0.4280.88', 'Safari/537.36 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
211.95.50.8 	 ['[06/Mar/2022:03:29:14', '+0530]'] 	  GET 	 HTTP/1.0  	 200 	 7195 	 [' Mozilla/5.0', '(Macintosh;', 'Intel', 'Mac', 'OS', 'X', '11_0_0)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/87.0.4280.88', 'Safari/537.36 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
211.95.50.7 	 ['[06/Mar/2022:03:29:14', '+0530]'] 	  GET 	 HTTP/1.0  	 200 	 84880 	 [' Mozilla/5.0', '(Macintosh;', 'Intel', 'Mac', 'OS', 'X', '11_0_0)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/87.0.4280.88', 'Safari/537.36 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
101.227.1.198 	 ['[06/Mar/2022:03:29:14', '+0530]'] 	  GET 	 HTTP/1.0  	 200 	 14011 	 [' Mozilla/5.0', '(Macintosh;', 'Intel', 'Mac', 'OS', 'X', '11_0_0)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/87.0.4280.88', 'Safari/537.36 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
101.227.1.198 	 ['[06/Mar/2022:03:29:16', '+0530]'] 	  GET 	 HTTP/1.0  	 200 	 34732 	 [' Mozilla/5.0', '(Macintosh;', 'Intel', 'Mac', 'OS', 'X', '11_0_0)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/87.0.4280.88', 'Safari/537.36 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
101.227.1.198 	 ['[06/Mar/2022:03:29:16', '+0530]'] 	  GET 	 HTTP/1.0  	 200 	 7310 	 [' Mozilla/5.0', '(Macintosh;', 'Intel', 'Mac', 'OS', 'X', '11_0_0)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/87.0.4280.88', 'Safari/537.36 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
101.227.1.198 	 ['[06/Mar/2022:03:29:16', '+0530]'] 	  GET 	 HTTP/1.0  	 200 	 5664 	 [' Mozilla/5.0', '(Macintosh;', 'Intel', 'Mac', 'OS', 'X', '11_0_0)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/87.0.4280.88', 'Safari/537.36 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
101.227.1.199 	 ['[06/Mar/2022:03:29:16', '+0530]'] 	  GET 	 HTTP/1.0  	 200 	 84880 	 [' Mozilla/5.0', '(Macintosh;', 'Intel', 'Mac', 'OS', 'X', '11_0_0)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/87.0.4280.88', 'Safari/537.36 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
101.227.1.199 	 ['[06/Mar/2022:03:29:16', '+0530]'] 	  GET 	 HTTP/1.0  	 200 	 31183 	 [' Mozilla/5.0', '(Macintosh;', 'Intel', 'Mac', 'OS', 'X', '11_0_0)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/87.0.4280.88', 'Safari/537.36 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
101.227.1.198 	 ['[06/Mar/2022:03:29:16', '+0530]'] 	  GET 	 HTTP/1.0  	 200 	 7195 	 [' Mozilla/5.0', '(Macintosh;', 'Intel', 'Mac', 'OS', 'X', '11_0_0)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/87.0.4280.88', 'Safari/537.36 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
101.227.1.198 	 ['[06/Mar/2022:03:29:16', '+0530]'] 	  GET 	 HTTP/1.0  	 200 	 1008 	 [' Mozilla/5.0', '(Macintosh;', 'Intel', 'Mac', 'OS', 'X', '11_0_0)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/87.0.4280.88', 'Safari/537.36 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
101.227.1.199 	 ['[06/Mar/2022:03:29:16', '+0530]'] 	  GET 	 HTTP/1.0  	 200 	 1008 	 [' Mozilla/5.0', '(Macintosh;', 'Intel', 'Mac', 'OS', 'X', '11_0_0)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/87.0.4280.88', 'Safari/537.36 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
209.141.36.112 	 ['[06/Mar/2022:03:29:19', '+0530]'] 	  GET 	 HTTP/1.0  	 200 	 5664 	 [' Mozilla/5.0', '(Macintosh;', 'Intel', 'Mac', 'OS', 'X', '11_0_0)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/87.0.4280.88', 'Safari/537.36 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
209.141.51.49 	 ['[06/Mar/2022:03:29:19', '+0530]'] 	  GET 	 HTTP/1.0  	 200 	 34732 	 [' Mozilla/5.0', '(Macintosh;', 'Intel', 'Mac', 'OS', 'X', '11_0_0)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/87.0.4280.88', 'Safari/537.36 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
101.227.1.199 	 ['[06/Mar/2022:03:29:21', '+0530]'] 	  GET 	 HTTP/1.0  	 200 	 290954 	 [' Mozilla/5.0', '(Macintosh;', 'Intel', 'Mac', 'OS', 'X', '11_0_0)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/87.0.4280.88', 'Safari/537.36 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
211.95.50.7 	 ['[06/Mar/2022:03:29:21', '+0530]'] 	  GET 	 HTTP/1.0  	 200 	 290954 	 [' Mozilla/5.0', '(Macintosh;', 'Intel', 'Mac', 'OS', 'X', '11_0_0)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/87.0.4280.88', 'Safari/537.36 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
205.185.122.184 	 ['[06/Mar/2022:03:29:23', '+0530]'] 	  GET 	 HTTP/1.0  	 200 	 5914 	 [' Mozilla/5.0', '(Macintosh;', 'Intel', 'Mac', 'OS', 'X', '10_15_7)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/96.0.4664.110', 'Safari/537.36 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
8.26.182.141 	 ['[06/Mar/2022:03:29:26', '+0530]'] 	  GET 	 HTTP/1.0  	 200 	 1366 	 [' Mozilla/5.0', '(Macintosh;', 'Intel', 'Mac', 'OS', 'X', '11_0_0)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/87.0.4280.88', 'Safari/537.36 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
209.141.41.193 	 ['[06/Mar/2022:03:29:29', '+0530]'] 	  GET 	 HTTP/1.0  	 200 	 5914 	 [' Mozilla/5.0', '(Macintosh;', 'Intel', 'Mac', 'OS', 'X', '10_15_7)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/96.0.4664.110', 'Safari/537.36 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
145.255.22.144 	 ['[06/Mar/2022:03:34:05', '+0530]'] 	  GET 	 HTTP/1.0  	 200 	 62300 	 [' Mozilla/5.0', '(Windows', 'NT', '10.0;', 'WOW64)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/90.0.4430.93', 'Safari/537.36 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
145.255.22.144 	 ['[06/Mar/2022:03:34:16', '+0530]'] 	  GET 	 HTTP/1.0  	 200 	 33908 	 [' Mozilla/5.0', '(Windows', 'NT', '6.1)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/90.0.4430.85', 'Safari/537.36 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
114.119.144.36 	 ['[06/Mar/2022:03:40:40', '+0530]'] 	  GET 	 HTTP/1.0  	 303 	 912 	 [' Mozilla/5.0', '(Linux;', 'Android', '7.0;)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Mobile', 'Safari/537.36', '(compatible;', 'PetalBot;+https://webmaster.petalsearch.com/site/petalbot) \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
114.119.144.36 	 ['[06/Mar/2022:03:40:41', '+0530]'] 	  GET 	 HTTP/1.0  	 200 	 9308 	 [' Mozilla/5.0', '(Linux;', 'Android', '7.0;)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Mobile', 'Safari/537.36', '(compatible;', 'PetalBot;+https://webmaster.petalsearch.com/site/petalbot) \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
66.249.68.57 	 ['[06/Mar/2022:04:19:26', '+0530]'] 	  GET 	 HTTP/1.0  	 404 	 1712 	 [' Mozilla/5.0', '(compatible;', 'Googlebot/2.1;', '+http://www.google.com/bot.html) \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
66.249.68.61 	 ['[06/Mar/2022:04:19:27', '+0530]'] 	  GET 	 HTTP/1.0  	 404 	 1712 	 [' Mozilla/5.0', '(compatible;', 'Googlebot/2.1;', '+http://www.google.com/bot.html) \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
95.173.160.160 	 ['[06/Mar/2022:04:27:16', '+0530]'] 	  GET 	 HTTP/1.0  	 404 	 1712 	 [' Mozilla/5.0', '(X11;', 'Linux', 'x86_64)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/81.0.4044.129', 'Safari/537.36 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
185.27.99.126 	 ['[06/Mar/2022:04:39:17', '+0530]'] 	  GET 	 HTTP/1.0  	 404 	 1712 	 [' Mozilla/5.0', '(Macintosh;', 'Intel', 'Mac', 'OS', 'X', '10_13_6)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/91.0.4472.114', 'Safari/537.36 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
185.27.99.124 	 ['[06/Mar/2022:04:39:17', '+0530]'] 	  GET 	 HTTP/1.0  	 404 	 1712 	 [' Mozilla/5.0', '(Macintosh;', 'Intel', 'Mac', 'OS', 'X', '10_13_6)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/91.0.4472.114', 'Safari/537.36 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
185.27.99.138 	 ['[06/Mar/2022:04:39:18', '+0530]'] 	  GET 	 HTTP/1.0  	 404 	 1712 	 [' Mozilla/5.0', '(Macintosh;', 'Intel', 'Mac', 'OS', 'X', '10_13_6)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/91.0.4472.114', 'Safari/537.36 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
185.27.99.116 	 ['[06/Mar/2022:04:39:21', '+0530]'] 	  GET 	 HTTP/1.0  	 200 	 14010 	 [' Mozilla/5.0', '(Macintosh;', 'Intel', 'Mac', 'OS', 'X', '10_13_6)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/91.0.4472.114', 'Safari/537.36 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
91.219.59.68 	 ['[06/Mar/2022:05:31:01', '+0530]'] 	  GET 	 HTTP/1.0  	 200 	 62300 	 [' Mozilla/5.0', '(Windows', 'NT', '6.1;', 'Win64;', 'x64)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/90.0.4430.72', 'Safari/537.36 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
91.219.59.68 	 ['[06/Mar/2022:05:31:06', '+0530]'] 	  GET 	 HTTP/1.0  	 303 	 850 	 [' Mozilla/5.0', '(Windows', 'NT', '6.1;', 'Win64;', 'x64)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/90.0.4430.72', 'Safari/537.36 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
91.219.59.68 	 ['[06/Mar/2022:05:31:07', '+0530]'] 	  GET 	 HTTP/1.0  	 200 	 33908 	 [' Mozilla/5.0', '(Windows', 'NT', '6.1;', 'Win64;', 'x64)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/90.0.4430.72', 'Safari/537.36 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
216.218.206.67 	 ['[06/Mar/2022:06:01:37', '+0530]'] 	  GET 	 HTTP/1.1  	 303 	 3700 	 [' - \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
162.144.53.128 	 ['[06/Mar/2022:08:47:42', '+0530]'] 	  GET 	 HTTP/1.0  	 404 	 1712 	 [' Mozilla/5.0', '(X11;', 'Ubuntu;', 'Linux', 'x86_64;', 'rv:62.0)', 'Gecko/20100101', 'Firefox/62.0 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
42.236.10.103 	 ['[06/Mar/2022:08:47:57', '+0530]'] 	  GET 	 HTTP/1.0  	 303 	 708 	 [' Mozilla/5.0', '(Windows', 'NT', '6.1;', 'WOW64)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/50.0.2661.102', 'Safari/537.36;', '360Spider \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
42.236.10.116 	 ['[06/Mar/2022:08:48:01', '+0530]'] 	  GET 	 HTTP/1.0  	 200 	 14009 	 [' Mozilla/5.0', '(Windows', 'NT', '6.1;', 'WOW64)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/50.0.2661.102', 'Safari/537.36;', '360Spider \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
42.236.10.122 	 ['[06/Mar/2022:08:50:35', '+0530]'] 	  GET 	 HTTP/1.0  	 200 	 14009 	 [' Mozilla/5.0', '(Windows', 'NT', '6.1;', 'WOW64)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/50.0.2661.102', 'Safari/537.36;', '360Spider \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
157.36.23.15 	 ['[06/Mar/2022:09:22:32', '+0530]'] 	  GET 	 HTTP/1.0  	 200 	 14113 	 [' Mozilla/5.0', '(Linux;', 'Android', '11;', 'Redmi', 'Note', '8)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/98.0.4758.101', 'Mobile', 'Safari/537.36 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
157.36.23.15 	 ['[06/Mar/2022:09:22:33', '+0530]'] 	  GET 	 HTTP/1.0  	 200 	 5664 	 [' Mozilla/5.0', '(Linux;', 'Android', '11;', 'Redmi', 'Note', '8)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/98.0.4758.101', 'Mobile', 'Safari/537.36 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
157.36.23.15 	 ['[06/Mar/2022:09:22:33', '+0530]'] 	  GET 	 HTTP/1.0  	 200 	 34732 	 [' Mozilla/5.0', '(Linux;', 'Android', '11;', 'Redmi', 'Note', '8)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/98.0.4758.101', 'Mobile', 'Safari/537.36 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
157.36.23.15 	 ['[06/Mar/2022:09:22:33', '+0530]'] 	  GET 	 HTTP/1.0  	 200 	 31183 	 [' Mozilla/5.0', '(Linux;', 'Android', '11;', 'Redmi', 'Note', '8)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/98.0.4758.101', 'Mobile', 'Safari/537.36 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
157.36.23.15 	 ['[06/Mar/2022:09:22:33', '+0530]'] 	  GET 	 HTTP/1.0  	 200 	 123609 	 [' Mozilla/5.0', '(Linux;', 'Android', '11;', 'Redmi', 'Note', '8)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/98.0.4758.101', 'Mobile', 'Safari/537.36 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
157.36.23.15 	 ['[06/Mar/2022:09:22:33', '+0530]'] 	  GET 	 HTTP/1.0  	 200 	 7310 	 [' Mozilla/5.0', '(Linux;', 'Android', '11;', 'Redmi', 'Note', '8)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/98.0.4758.101', 'Mobile', 'Safari/537.36 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
157.36.23.15 	 ['[06/Mar/2022:09:22:33', '+0530]'] 	  GET 	 HTTP/1.0  	 200 	 1541 	 [' Mozilla/5.0', '(Linux;', 'Android', '11;', 'Redmi', 'Note', '8)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/98.0.4758.101', 'Mobile', 'Safari/537.36 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
